leto,drzava,starostna skupina,spol,pogostost,odstotek
2018,Belgija,skupaj,skupaj,1-2,23
2018,Belgija,skupaj,skupaj,3-5,16
2018,Belgija,skupaj,skupaj,6 ali več,10
2019,Belgija,skupaj,skupaj,1-2,24
2019,Belgija,skupaj,skupaj,3-5,19
2019,Belgija,skupaj,skupaj,6 ali več,11
2016,Belgija,16-24,skupaj,1-2,27
2016,Belgija,16-24,skupaj,3-5,21
2016,Belgija,16-24,skupaj,6 ali več,4
2017,Belgija,16-24,skupaj,1-2,25
2017,Belgija,16-24,skupaj,3-5,18
2017,Belgija,16-24,skupaj,6 ali več,7
2018,Belgija,16-24,skupaj,1-2,28
2018,Belgija,16-24,skupaj,3-5,19
2018,Belgija,16-24,skupaj,6 ali več,7
2019,Belgija,16-24,skupaj,1-2,34
2019,Belgija,16-24,skupaj,3-5,22
2019,Belgija,16-24,skupaj,6 ali več,10
2016,Belgija,25-54,skupaj,1-2,23
2016,Belgija,25-54,skupaj,3-5,21
2016,Belgija,25-54,skupaj,6 ali več,10
2017,Belgija,25-54,skupaj,1-2,24
2017,Belgija,25-54,skupaj,3-5,20
2017,Belgija,25-54,skupaj,6 ali več,12
2018,Belgija,25-54,skupaj,1-2,26
2018,Belgija,25-54,skupaj,3-5,19
2018,Belgija,25-54,skupaj,6 ali več,14
2019,Belgija,25-54,skupaj,1-2,25
2019,Belgija,25-54,skupaj,3-5,23
2019,Belgija,25-54,skupaj,6 ali več,16
2016,Belgija,55-74,skupaj,1-2,16
2016,Belgija,55-74,skupaj,3-5,8
2016,Belgija,55-74,skupaj,6 ali več,2
2017,Belgija,55-74,skupaj,1-2,15
2017,Belgija,55-74,skupaj,3-5,9
2017,Belgija,55-74,skupaj,6 ali več,4
2018,Belgija,55-74,skupaj,1-2,15
2018,Belgija,55-74,skupaj,3-5,10
2018,Belgija,55-74,skupaj,6 ali več,3
2019,Belgija,55-74,skupaj,1-2,19
2019,Belgija,55-74,skupaj,3-5,10
2019,Belgija,55-74,skupaj,6 ali več,5
2016,Belgija,16-24,moški,1-2,26
2016,Belgija,16-24,moški,3-5,20
2016,Belgija,16-24,moški,6 ali več,5
2017,Belgija,16-24,moški,1-2,25
2017,Belgija,16-24,moški,3-5,15
2017,Belgija,16-24,moški,6 ali več,6
2018,Belgija,16-24,moški,1-2,26
2018,Belgija,16-24,moški,3-5,19
2018,Belgija,16-24,moški,6 ali več,8
