leto,drzava,starostna skupina,spol,vrednost,odstotek
2015,Hrvaška,16-24,skupaj,49 ali manj,48
2015,Hrvaška,25-54,skupaj,49 ali manj,34
2015,Hrvaška,55-74,skupaj,49 ali manj,28
2015,Hrvaška,16-24,moški,49 ali manj,41
2015,Hrvaška,16-24,ženske,49 ali manj,56
2015,Hrvaška,25-54,moški,49 ali manj,27
2015,Hrvaška,25-54,ženske,49 ali manj,43
2015,Hrvaška,55-74,moški,49 ali manj,26
2015,Hrvaška,55-74,ženske,49 ali manj,31
2015,Italija,skupaj,skupaj,49 ali manj,27
2015,Italija,16-24,skupaj,49 ali manj,40
2015,Italija,25-54,skupaj,49 ali manj,25
2015,Italija,55-74,skupaj,49 ali manj,21
2015,Italija,16-24,moški,49 ali manj,39
2015,Italija,16-24,ženske,49 ali manj,43
2015,Italija,25-54,moški,49 ali manj,22
2015,Italija,25-54,ženske,49 ali manj,28
2015,Italija,55-74,moški,49 ali manj,18
2015,Italija,55-74,ženske,49 ali manj,28
2015,Ciper,skupaj,skupaj,49 ali manj,24
2015,Ciper,16-24,skupaj,49 ali manj,37
2015,Ciper,25-54,skupaj,49 ali manj,20
2015,Ciper,55-74,skupaj,49 ali manj,13
2015,Ciper,16-24,moški,49 ali manj,33
2015,Ciper,16-24,ženske,49 ali manj,41
2015,Ciper,25-54,moški,49 ali manj,19
2015,Ciper,25-54,ženske,49 ali manj,21
2015,Ciper,55-74,moški,49 ali manj,15
2015,Ciper,55-74,ženske,49 ali manj,11
2015,Latvija,skupaj,skupaj,49 ali manj,42
2015,Latvija,16-24,skupaj,49 ali manj,51
2015,Latvija,25-54,skupaj,49 ali manj,40
2015,Latvija,55-74,skupaj,49 ali manj,41
2015,Latvija,16-24,moški,49 ali manj,41
2015,Latvija,16-24,ženske,49 ali manj,59
2015,Latvija,25-54,moški,49 ali manj,35
2015,Latvija,25-54,ženske,49 ali manj,43
2015,Latvija,55-74,moški,49 ali manj,41
2015,Latvija,55-74,ženske,49 ali manj,41
2015,Litva,skupaj,skupaj,49 ali manj,20
2015,Litva,16-24,skupaj,49 ali manj,27
2015,Litva,25-54,skupaj,49 ali manj,17
2015,Litva,55-74,skupaj,49 ali manj,19
2015,Litva,16-24,moški,49 ali manj,21
2015,Litva,16-24,ženske,49 ali manj,32
2015,Litva,25-54,moški,49 ali manj,11
2015,Litva,25-54,ženske,49 ali manj,22
2015,Litva,55-74,moški,49 ali manj,16
2015,Litva,55-74,ženske,49 ali manj,21
2015,Luksemburg,skupaj,skupaj,49 ali manj,23
2015,Luksemburg,16-24,skupaj,49 ali manj,23
2015,Luksemburg,25-54,skupaj,49 ali manj,21
2015,Luksemburg,55-74,skupaj,49 ali manj,28
2015,Luksemburg,16-24,moški,49 ali manj,20
2015,Luksemburg,16-24,ženske,49 ali manj,26
2015,Luksemburg,25-54,moški,49 ali manj,18
2015,Luksemburg,25-54,ženske,49 ali manj,24
2015,Luksemburg,55-74,moški,49 ali manj,31
2015,Luksemburg,55-74,ženske,49 ali manj,25
2015,Madžarska,skupaj,skupaj,49 ali manj,38
2015,Madžarska,16-24,skupaj,49 ali manj,48
2015,Madžarska,25-54,skupaj,49 ali manj,36
2015,Madžarska,55-74,skupaj,49 ali manj,32
2015,Madžarska,16-24,moški,49 ali manj,42
2015,Madžarska,16-24,ženske,49 ali manj,57
2015,Madžarska,25-54,moški,49 ali manj,36
2015,Madžarska,25-54,ženske,49 ali manj,37
2015,Madžarska,55-74,moški,49 ali manj,27
2015,Madžarska,55-74,ženske,49 ali manj,36
2015,Malta,skupaj,skupaj,49 ali manj,20
2015,Malta,16-24,skupaj,49 ali manj,29
2015,Malta,25-54,skupaj,49 ali manj,16
2015,Malta,55-74,skupaj,49 ali manj,29
2015,Malta,16-24,moški,49 ali manj,25
2015,Malta,16-24,ženske,49 ali manj,31
2015,Malta,25-54,moški,49 ali manj,15
2015,Malta,25-54,ženske,49 ali manj,18
2015,Malta,55-74,moški,49 ali manj,26
2015,Malta,55-74,ženske,49 ali manj,34
2015,Nizozemska,skupaj,skupaj,49 ali manj,15
2015,Nizozemska,16-24,skupaj,49 ali manj,21
2015,Nizozemska,25-54,skupaj,49 ali manj,13
2015,Nizozemska,55-74,skupaj,49 ali manj,18
2015,Nizozemska,16-24,moški,49 ali manj,14
2015,Nizozemska,16-24,ženske,49 ali manj,27
2015,Nizozemska,25-54,moški,49 ali manj,11
2015,Nizozemska,25-54,ženske,49 ali manj,14
2015,Nizozemska,55-74,moški,49 ali manj,17
2015,Nizozemska,55-74,ženske,49 ali manj,19
2015,Avstrija,skupaj,skupaj,49 ali manj,7
2015,Avstrija,16-24,skupaj,49 ali manj,16
2015,Avstrija,25-54,skupaj,49 ali manj,5
2015,Avstrija,55-74,skupaj,49 ali manj,8
2015,Avstrija,16-24,moški,49 ali manj,16
2015,Avstrija,16-24,ženske,49 ali manj,16
2015,Avstrija,25-54,moški,49 ali manj,4
2015,Avstrija,25-54,ženske,49 ali manj,5
2015,Avstrija,55-74,moški,49 ali manj,8
2015,Avstrija,55-74,ženske,49 ali manj,8
2015,Poljska,skupaj,skupaj,49 ali manj,32
2015,Poljska,16-24,skupaj,49 ali manj,45
2015,Poljska,25-54,skupaj,49 ali manj,28
2015,Poljska,55-74,skupaj,49 ali manj,33
2015,Poljska,16-24,moški,49 ali manj,40
2015,Poljska,16-24,ženske,49 ali manj,51
2015,Poljska,25-54,moški,49 ali manj,22
2015,Poljska,25-54,ženske,49 ali manj,33
2015,Poljska,55-74,moški,49 ali manj,36
2015,Poljska,55-74,ženske,49 ali manj,29
2015,Portugalska,skupaj,skupaj,49 ali manj,23
2015,Portugalska,16-24,skupaj,49 ali manj,39
2015,Portugalska,25-54,skupaj,49 ali manj,18
2015,Portugalska,55-74,skupaj,49 ali manj,22
2015,Portugalska,16-24,moški,49 ali manj,35
2015,Portugalska,16-24,ženske,49 ali manj,44
2015,Portugalska,25-54,moški,49 ali manj,18
2015,Portugalska,25-54,ženske,49 ali manj,19
2015,Portugalska,55-74,moški,49 ali manj,22
2015,Portugalska,55-74,ženske,49 ali manj,20
2015,Romunija,skupaj,skupaj,49 ali manj,37
2015,Romunija,16-24,skupaj,49 ali manj,42
2015,Romunija,25-54,skupaj,49 ali manj,35
2015,Romunija,55-74,skupaj,49 ali manj,32
2015,Romunija,16-24,moški,49 ali manj,42
2015,Romunija,16-24,ženske,49 ali manj,42
2015,Romunija,25-54,moški,49 ali manj,28
2015,Romunija,25-54,ženske,49 ali manj,43
2015,Romunija,55-74,moški,49 ali manj,30
2015,Romunija,55-74,ženske,49 ali manj,35
2015,Slovenija,skupaj,skupaj,49 ali manj,27
2015,Slovenija,16-24,skupaj,49 ali manj,38
2015,Slovenija,25-54,skupaj,49 ali manj,25
2015,Slovenija,55-74,skupaj,49 ali manj,22
2015,Slovenija,16-24,moški,49 ali manj,34
2015,Slovenija,16-24,ženske,49 ali manj,43
2015,Slovenija,25-54,moški,49 ali manj,23
2015,Slovenija,25-54,ženske,49 ali manj,28
2015,Slovenija,55-74,moški,49 ali manj,24
2015,Slovenija,55-74,ženske,49 ali manj,19
2015,Slovaška,skupaj,skupaj,49 ali manj,17
2015,Slovaška,16-24,skupaj,49 ali manj,20
2015,Slovaška,25-54,skupaj,49 ali manj,16
2015,Slovaška,55-74,skupaj,49 ali manj,18
2015,Slovaška,16-24,moški,49 ali manj,17
2015,Slovaška,16-24,ženske,49 ali manj,24
2015,Slovaška,25-54,moški,49 ali manj,13
2015,Slovaška,25-54,ženske,49 ali manj,19
2015,Slovaška,55-74,moški,49 ali manj,14
2015,Slovaška,55-74,ženske,49 ali manj,22
2015,Finska,skupaj,skupaj,49 ali manj,7
2015,Finska,16-24,skupaj,49 ali manj,9
2015,Finska,25-54,skupaj,49 ali manj,6
2015,Finska,55-74,skupaj,49 ali manj,9
2015,Finska,16-24,moški,49 ali manj,10
2015,Finska,16-24,ženske,49 ali manj,8
2015,Finska,25-54,moški,49 ali manj,4
2015,Finska,25-54,ženske,49 ali manj,9
2015,Finska,55-74,moški,49 ali manj,9
2015,Finska,55-74,ženske,49 ali manj,9
2015,Švedska,skupaj,skupaj,49 ali manj,7
2015,Švedska,16-24,skupaj,49 ali manj,15
2015,Švedska,25-54,skupaj,49 ali manj,5
2015,Švedska,55-74,skupaj,49 ali manj,7
2015,Švedska,16-24,moški,49 ali manj,3
2015,Švedska,16-24,ženske,49 ali manj,24
2015,Švedska,25-54,moški,49 ali manj,5
2015,Švedska,25-54,ženske,49 ali manj,5
2015,Švedska,55-74,moški,49 ali manj,7
2015,Švedska,55-74,ženske,49 ali manj,8
2015,EU28,skupaj,skupaj,50 - 99,24
2015,EU28,16-24,skupaj,50 - 99,27
2015,EU28,25-54,skupaj,50 - 99,23
2015,EU28,55-74,skupaj,50 - 99,25
2015,EU28,16-24,moški,50 - 99,25
2015,EU28,16-24,ženske,50 - 99,28
2015,EU28,25-54,moški,50 - 99,21
2015,EU28,25-54,ženske,50 - 99,25
2015,EU28,55-74,moški,50 - 99,23
2015,EU28,55-74,ženske,50 - 99,27
2015,Belgija,skupaj,skupaj,50 - 99,15
2015,Belgija,16-24,skupaj,50 - 99,20
2015,Belgija,25-54,skupaj,50 - 99,14
2015,Belgija,55-74,skupaj,50 - 99,15
2015,Belgija,16-24,moški,50 - 99,25
2015,Belgija,16-24,ženske,50 - 99,14
2015,Belgija,25-54,moški,50 - 99,13
2015,Belgija,25-54,ženske,50 - 99,16
2015,Belgija,55-74,moški,50 - 99,12
2015,Belgija,55-74,ženske,50 - 99,19
2015,Bolgarija,skupaj,skupaj,50 - 99,30
2015,Bolgarija,16-24,skupaj,50 - 99,31
2015,Bolgarija,25-54,skupaj,50 - 99,31
2015,Bolgarija,55-74,skupaj,50 - 99,22
2015,Bolgarija,16-24,moški,50 - 99,36
2015,Bolgarija,16-24,ženske,50 - 99,25
2015,Bolgarija,25-54,moški,50 - 99,31
2015,Bolgarija,25-54,ženske,50 - 99,30
2015,Bolgarija,55-74,moški,50 - 99,21
2015,Bolgarija,55-74,ženske,50 - 99,22
2015,Češka,skupaj,skupaj,50 - 99,31
2015,Češka,16-24,skupaj,50 - 99,34
2015,Češka,25-54,skupaj,50 - 99,30
2015,Češka,55-74,skupaj,50 - 99,31
2015,Češka,16-24,moški,50 - 99,36
2015,Češka,16-24,ženske,50 - 99,33
2015,Češka,25-54,moški,50 - 99,26
2015,Češka,25-54,ženske,50 - 99,32
2015,Češka,55-74,moški,50 - 99,30
2015,Češka,55-74,ženske,50 - 99,33
2015,Danska,skupaj,skupaj,50 - 99,17
2015,Danska,16-24,skupaj,50 - 99,23
2015,Danska,25-54,skupaj,50 - 99,14
2015,Danska,55-74,skupaj,50 - 99,19
2015,Danska,16-24,moški,50 - 99,16
2015,Danska,16-24,ženske,50 - 99,29
2015,Danska,25-54,moški,50 - 99,11
2015,Danska,25-54,ženske,50 - 99,17
2015,Danska,55-74,moški,50 - 99,18
2015,Danska,55-74,ženske,50 - 99,21
2015,Nemčija,skupaj,skupaj,50 - 99,27
2015,Nemčija,16-24,skupaj,50 - 99,32
2015,Nemčija,25-54,skupaj,50 - 99,25
2015,Nemčija,55-74,skupaj,50 - 99,31
2015,Nemčija,16-24,moški,50 - 99,29
2015,Nemčija,16-24,ženske,50 - 99,35
2015,Nemčija,25-54,moški,50 - 99,23
2015,Nemčija,25-54,ženske,50 - 99,27
2015,Nemčija,55-74,moški,50 - 99,29
2015,Nemčija,55-74,ženske,50 - 99,34
2015,Estonija,skupaj,skupaj,50 - 99,19
2015,Estonija,16-24,skupaj,50 - 99,22
2015,Estonija,25-54,skupaj,50 - 99,18
2015,Estonija,55-74,skupaj,50 - 99,20
2015,Estonija,16-24,moški,50 - 99,16
2015,Estonija,16-24,ženske,50 - 99,27
2015,Estonija,25-54,moški,50 - 99,17
2015,Estonija,25-54,ženske,50 - 99,19
2015,Estonija,55-74,moški,50 - 99,14
2015,Estonija,55-74,ženske,50 - 99,25
2015,Irska,skupaj,skupaj,50 - 99,33
2015,Irska,16-24,skupaj,50 - 99,37
2015,Irska,25-54,skupaj,50 - 99,32
2015,Irska,55-74,skupaj,50 - 99,32
2015,Irska,16-24,moški,50 - 99,37
2015,Irska,16-24,ženske,50 - 99,37
2015,Irska,25-54,moški,50 - 99,30
2015,Irska,25-54,ženske,50 - 99,33
2015,Irska,55-74,moški,50 - 99,28
2015,Irska,55-74,ženske,50 - 99,36
2015,Grčija,skupaj,skupaj,50 - 99,27
2015,Grčija,16-24,skupaj,50 - 99,30
2015,Grčija,25-54,skupaj,50 - 99,27
2015,Grčija,55-74,skupaj,50 - 99,25
2015,Grčija,16-24,moški,50 - 99,31
2015,Grčija,16-24,ženske,50 - 99,27
2015,Grčija,25-54,moški,50 - 99,20
2015,Grčija,25-54,ženske,50 - 99,35
2015,Grčija,55-74,moški,50 - 99,20
2015,Grčija,55-74,ženske,50 - 99,33
2015,Španija,skupaj,skupaj,50 - 99,27
2015,Španija,16-24,skupaj,50 - 99,31
2015,Španija,25-54,skupaj,50 - 99,27
2015,Španija,55-74,skupaj,50 - 99,25
2015,Španija,16-24,moški,50 - 99,31
2015,Španija,16-24,ženske,50 - 99,30
2015,Španija,25-54,moški,50 - 99,27
2015,Španija,25-54,ženske,50 - 99,28
2015,Španija,55-74,moški,50 - 99,22
2015,Španija,55-74,ženske,50 - 99,30
2015,Francija,skupaj,skupaj,50 - 99,34
2015,Francija,16-24,skupaj,50 - 99,31
2015,Francija,25-54,skupaj,50 - 99,34
2015,Francija,55-74,skupaj,50 - 99,37
2015,Francija,16-24,moški,50 - 99,34
2015,Francija,16-24,ženske,50 - 99,28
2015,Francija,25-54,moški,50 - 99,33
2015,Francija,25-54,ženske,50 - 99,35
2015,Francija,55-74,moški,50 - 99,33
2015,Francija,55-74,ženske,50 - 99,42
2015,Hrvaška,skupaj,skupaj,50 - 99,20
2015,Hrvaška,16-24,skupaj,50 - 99,26
2015,Hrvaška,25-54,skupaj,50 - 99,16
2015,Hrvaška,55-74,skupaj,50 - 99,32
2015,Hrvaška,16-24,moški,50 - 99,31
2015,Hrvaška,16-24,ženske,50 - 99,19
2015,Hrvaška,25-54,moški,50 - 99,20
2015,Hrvaška,25-54,ženske,50 - 99,11
2015,Hrvaška,55-74,moški,50 - 99,26
2015,Hrvaška,55-74,ženske,50 - 99,38
2015,Italija,skupaj,skupaj,50 - 99,35
2015,Italija,16-24,skupaj,50 - 99,34
2015,Italija,25-54,skupaj,50 - 99,36
2015,Italija,55-74,skupaj,50 - 99,37
2015,Italija,16-24,moški,50 - 99,32
2015,Italija,16-24,ženske,50 - 99,36
2015,Italija,25-54,moški,50 - 99,35
2015,Italija,25-54,ženske,50 - 99,37
2015,Italija,55-74,moški,50 - 99,37
2015,Italija,55-74,ženske,50 - 99,36
2015,Ciper,skupaj,skupaj,50 - 99,21
2015,Ciper,16-24,skupaj,50 - 99,29
2015,Ciper,25-54,skupaj,50 - 99,18
2015,Ciper,55-74,skupaj,50 - 99,20
2015,Ciper,16-24,moški,50 - 99,21
2015,Ciper,16-24,ženske,50 - 99,38
2015,Ciper,25-54,moški,50 - 99,16
2015,Ciper,25-54,ženske,50 - 99,20
2015,Ciper,55-74,moški,50 - 99,12
2015,Ciper,55-74,ženske,50 - 99,32
2015,Latvija,skupaj,skupaj,50 - 99,31
2015,Latvija,16-24,skupaj,50 - 99,29
2015,Latvija,25-54,skupaj,50 - 99,31
2015,Latvija,55-74,skupaj,50 - 99,27
2015,Latvija,16-24,moški,50 - 99,35
2015,Latvija,16-24,ženske,50 - 99,25
2015,Latvija,25-54,moški,50 - 99,32
2015,Latvija,25-54,ženske,50 - 99,31
2015,Latvija,55-74,moški,50 - 99,30
2015,Latvija,55-74,ženske,50 - 99,26
2015,Litva,skupaj,skupaj,50 - 99,24
2015,Litva,16-24,skupaj,50 - 99,29
2015,Litva,25-54,skupaj,50 - 99,23
2015,Litva,55-74,skupaj,50 - 99,21
2015,Litva,16-24,moški,50 - 99,25
2015,Litva,16-24,ženske,50 - 99,32
2015,Litva,25-54,moški,50 - 99,18
2015,Litva,25-54,ženske,50 - 99,27
2015,Litva,55-74,moški,50 - 99,20
2015,Litva,55-74,ženske,50 - 99,23
2015,Luksemburg,skupaj,skupaj,50 - 99,8
2015,Luksemburg,16-24,skupaj,50 - 99,14
2015,Luksemburg,25-54,skupaj,50 - 99,5
2015,Luksemburg,55-74,skupaj,50 - 99,9
2015,Luksemburg,16-24,moški,50 - 99,14
2015,Luksemburg,16-24,ženske,50 - 99,14
2015,Luksemburg,25-54,moški,50 - 99,4
2015,Luksemburg,25-54,ženske,50 - 99,7
2015,Luksemburg,55-74,moški,50 - 99,6
2015,Luksemburg,55-74,ženske,50 - 99,14
2015,Madžarska,skupaj,skupaj,50 - 99,31
2015,Madžarska,16-24,skupaj,50 - 99,34
2015,Madžarska,25-54,skupaj,50 - 99,30
2015,Madžarska,55-74,skupaj,50 - 99,29
2015,Madžarska,16-24,moški,50 - 99,38
2015,Madžarska,16-24,ženske,50 - 99,28
2015,Madžarska,25-54,moški,50 - 99,30
2015,Madžarska,25-54,ženske,50 - 99,30
2015,Madžarska,55-74,moški,50 - 99,31
2015,Madžarska,55-74,ženske,50 - 99,28
2015,Malta,skupaj,skupaj,50 - 99,22
2015,Malta,16-24,skupaj,50 - 99,27
2015,Malta,25-54,skupaj,50 - 99,20
2015,Malta,55-74,skupaj,50 - 99,18
2015,Malta,16-24,moški,50 - 99,19
2015,Malta,16-24,ženske,50 - 99,33
2015,Malta,25-54,moški,50 - 99,15
2015,Malta,25-54,ženske,50 - 99,27
2015,Malta,55-74,moški,50 - 99,21
2015,Malta,55-74,ženske,50 - 99,12
2015,Nizozemska,skupaj,skupaj,50 - 99,26
2015,Nizozemska,16-24,skupaj,50 - 99,29
2015,Nizozemska,25-54,skupaj,50 - 99,24
2015,Nizozemska,55-74,skupaj,50 - 99,29
2015,Nizozemska,16-24,moški,50 - 99,28
2015,Nizozemska,16-24,ženske,50 - 99,31
2015,Nizozemska,25-54,moški,50 - 99,21
2015,Nizozemska,25-54,ženske,50 - 99,26
2015,Nizozemska,55-74,moški,50 - 99,24
2015,Nizozemska,55-74,ženske,50 - 99,36
2015,Avstrija,skupaj,skupaj,50 - 99,10
2015,Avstrija,16-24,skupaj,50 - 99,15
2015,Avstrija,25-54,skupaj,50 - 99,9
2015,Avstrija,55-74,skupaj,50 - 99,10
2015,Avstrija,16-24,moški,50 - 99,15
2015,Avstrija,16-24,ženske,50 - 99,14
2015,Avstrija,25-54,moški,50 - 99,7
2015,Avstrija,25-54,ženske,50 - 99,11
2015,Avstrija,55-74,moški,50 - 99,7
2015,Avstrija,55-74,ženske,50 - 99,16
2015,Poljska,skupaj,skupaj,50 - 99,24
2015,Poljska,16-24,skupaj,50 - 99,29
2015,Poljska,25-54,skupaj,50 - 99,23
2015,Poljska,55-74,skupaj,50 - 99,23
2015,Poljska,16-24,moški,50 - 99,31
2015,Poljska,16-24,ženske,50 - 99,27
2015,Poljska,25-54,moški,50 - 99,22
2015,Poljska,25-54,ženske,50 - 99,23
2015,Poljska,55-74,moški,50 - 99,21
2015,Poljska,55-74,ženske,50 - 99,26
2015,Portugalska,skupaj,skupaj,50 - 99,18
2015,Portugalska,16-24,skupaj,50 - 99,19
2015,Portugalska,25-54,skupaj,50 - 99,18
2015,Portugalska,55-74,skupaj,50 - 99,15
2015,Portugalska,16-24,moški,50 - 99,20
2015,Portugalska,16-24,ženske,50 - 99,17
2015,Portugalska,25-54,moški,50 - 99,16
2015,Portugalska,25-54,ženske,50 - 99,19
2015,Portugalska,55-74,moški,50 - 99,12
2015,Portugalska,55-74,ženske,50 - 99,22
2015,Romunija,skupaj,skupaj,50 - 99,30
2015,Romunija,16-24,skupaj,50 - 99,33
2015,Romunija,25-54,skupaj,50 - 99,30
2015,Romunija,55-74,skupaj,50 - 99,29
2015,Romunija,16-24,moški,50 - 99,28
2015,Romunija,16-24,ženske,50 - 99,38
2015,Romunija,25-54,moški,50 - 99,27
2015,Romunija,25-54,ženske,50 - 99,33
2015,Romunija,55-74,moški,50 - 99,34
2015,Romunija,55-74,ženske,50 - 99,24
2015,Slovenija,skupaj,skupaj,50 - 99,30
2015,Slovenija,16-24,skupaj,50 - 99,30
2015,Slovenija,25-54,skupaj,50 - 99,29
2015,Slovenija,55-74,skupaj,50 - 99,38
2015,Slovenija,16-24,moški,50 - 99,25
2015,Slovenija,16-24,ženske,50 - 99,37
2015,Slovenija,25-54,moški,50 - 99,24
2015,Slovenija,25-54,ženske,50 - 99,35
2015,Slovenija,55-74,moški,50 - 99,32
2015,Slovenija,55-74,ženske,50 - 99,46
2015,Slovaška,skupaj,skupaj,50 - 99,32
2015,Slovaška,16-24,skupaj,50 - 99,38
2015,Slovaška,25-54,skupaj,50 - 99,30
2015,Slovaška,55-74,skupaj,50 - 99,38
2015,Slovaška,16-24,moški,50 - 99,39
2015,Slovaška,16-24,ženske,50 - 99,38
2015,Slovaška,25-54,moški,50 - 99,25
2015,Slovaška,25-54,ženske,50 - 99,35
2015,Slovaška,55-74,moški,50 - 99,40
2015,Slovaška,55-74,ženske,50 - 99,36
2015,Finska,skupaj,skupaj,50 - 99,8
2015,Finska,16-24,skupaj,50 - 99,12
2015,Finska,25-54,skupaj,50 - 99,6
2015,Finska,55-74,skupaj,50 - 99,10
2015,Finska,16-24,moški,50 - 99,7
2015,Finska,16-24,ženske,50 - 99,18
2015,Finska,25-54,moški,50 - 99,6
2015,Finska,25-54,ženske,50 - 99,6
2015,Finska,55-74,moški,50 - 99,7
2015,Finska,55-74,ženske,50 - 99,12
2015,Švedska,skupaj,skupaj,50 - 99,14
2015,Švedska,16-24,skupaj,50 - 99,18
2015,Švedska,25-54,skupaj,50 - 99,12
2015,Švedska,55-74,skupaj,50 - 99,17
2015,Švedska,16-24,moški,50 - 99,19
2015,Švedska,16-24,ženske,50 - 99,17
2015,Švedska,25-54,moški,50 - 99,9
2015,Švedska,25-54,ženske,50 - 99,15
2015,Švedska,55-74,moški,50 - 99,13
2015,Švedska,55-74,ženske,50 - 99,21
2015,EU28,skupaj,skupaj,100 - 499 ,40
