leto,drzava,starostna skupina,spol,prodajalec,odstotek
2011,Danska,16-24,moški,domači,75
2011,Danska,16-24,moški,iz EU,47
2011,Danska,16-24,moški,iz drugih držav,27
2012,Danska,16-24,moški,domači,81
2012,Danska,16-24,moški,iz EU,49
2012,Danska,16-24,moški,iz drugih držav,28
2013,Danska,16-24,moški,domači,81
2013,Danska,16-24,moški,iz EU,52
2013,Danska,16-24,moški,iz drugih držav,32
2014,Danska,16-24,moški,domači,82
2014,Danska,16-24,moški,iz EU,58
2014,Danska,16-24,moški,iz drugih držav,30
2015,Danska,16-24,moški,domači,81
2015,Danska,16-24,moški,iz EU,54
2015,Danska,16-24,moški,iz drugih držav,36
2016,Danska,16-24,moški,domači,78
2016,Danska,16-24,moški,iz EU,62
2016,Danska,16-24,moški,iz drugih držav,39
2017,Danska,16-24,moški,domači,80
2017,Danska,16-24,moški,iz EU,58
2017,Danska,16-24,moški,iz drugih držav,31
2018,Danska,16-24,moški,domači,83
2018,Danska,16-24,moški,iz EU,62
2018,Danska,16-24,moški,iz drugih držav,34
2019,Danska,16-24,moški,domači,79
2019,Danska,16-24,moški,iz EU,54
2019,Danska,16-24,moški,iz drugih držav,34
2010,Danska,16-24,ženske,domači,78
2010,Danska,16-24,ženske,iz EU,41
2010,Danska,16-24,ženske,iz drugih držav,16
2011,Danska,16-24,ženske,domači,74
2011,Danska,16-24,ženske,iz EU,49
2011,Danska,16-24,ženske,iz drugih držav,17
2012,Danska,16-24,ženske,domači,77
2012,Danska,16-24,ženske,iz EU,45
2012,Danska,16-24,ženske,iz drugih držav,16
2013,Danska,16-24,ženske,domači,79
2013,Danska,16-24,ženske,iz EU,52
2013,Danska,16-24,ženske,iz drugih držav,24
2014,Danska,16-24,ženske,domači,80
2014,Danska,16-24,ženske,iz EU,55
2014,Danska,16-24,ženske,iz drugih držav,25
2015,Danska,16-24,ženske,domači,78
2015,Danska,16-24,ženske,iz EU,52
2015,Danska,16-24,ženske,iz drugih držav,24
2016,Danska,16-24,ženske,domači,78
2016,Danska,16-24,ženske,iz EU,58
2016,Danska,16-24,ženske,iz drugih držav,20
2017,Danska,16-24,ženske,domači,79
2017,Danska,16-24,ženske,iz EU,50
2017,Danska,16-24,ženske,iz drugih držav,23
2018,Danska,16-24,ženske,domači,79
2018,Danska,16-24,ženske,iz EU,56
2018,Danska,16-24,ženske,iz drugih držav,26
2019,Danska,16-24,ženske,domači,81
2019,Danska,16-24,ženske,iz EU,52
2019,Danska,16-24,ženske,iz drugih držav,22
2010,Danska,25-54,moški,domači,83
2010,Danska,25-54,moški,iz EU,52
2010,Danska,25-54,moški,iz drugih držav,27
2011,Danska,25-54,moški,domači,85
2011,Danska,25-54,moški,iz EU,48
2011,Danska,25-54,moški,iz drugih držav,23
2012,Danska,25-54,moški,domači,88
2012,Danska,25-54,moški,iz EU,50
2012,Danska,25-54,moški,iz drugih držav,21
2013,Danska,25-54,moški,domači,86
2013,Danska,25-54,moški,iz EU,53
2013,Danska,25-54,moški,iz drugih držav,22
2014,Danska,25-54,moški,domači,88
2014,Danska,25-54,moški,iz EU,57
2014,Danska,25-54,moški,iz drugih držav,28
2015,Danska,25-54,moški,domači,87
2015,Danska,25-54,moški,iz EU,57
2015,Danska,25-54,moški,iz drugih držav,25
2016,Danska,25-54,moški,domači,87
2016,Danska,25-54,moški,iz EU,59
2016,Danska,25-54,moški,iz drugih držav,30
2017,Danska,25-54,moški,domači,88
2017,Danska,25-54,moški,iz EU,52
2017,Danska,25-54,moški,iz drugih držav,28
2018,Danska,25-54,moški,domači,88
2018,Danska,25-54,moški,iz EU,61
2018,Danska,25-54,moški,iz drugih držav,35
2019,Danska,25-54,moški,domači,86
2019,Danska,25-54,moški,iz EU,57
2019,Danska,25-54,moški,iz drugih držav,31
2010,Danska,25-54,ženske,domači,82
2010,Danska,25-54,ženske,iz EU,36
2010,Danska,25-54,ženske,iz drugih držav,15
2011,Danska,25-54,ženske,domači,85
2011,Danska,25-54,ženske,iz EU,35
2011,Danska,25-54,ženske,iz drugih držav,14
2012,Danska,25-54,ženske,domači,86
2012,Danska,25-54,ženske,iz EU,35
2012,Danska,25-54,ženske,iz drugih držav,10
2013,Danska,25-54,ženske,domači,85
2013,Danska,25-54,ženske,iz EU,38
2013,Danska,25-54,ženske,iz drugih držav,13
2014,Danska,25-54,ženske,domači,88
2014,Danska,25-54,ženske,iz EU,43
2014,Danska,25-54,ženske,iz drugih držav,16
2015,Danska,25-54,ženske,domači,89
2015,Danska,25-54,ženske,iz EU,42
2015,Danska,25-54,ženske,iz drugih držav,16
2016,Danska,25-54,ženske,domači,86
2016,Danska,25-54,ženske,iz EU,46
2016,Danska,25-54,ženske,iz drugih držav,19
2017,Danska,25-54,ženske,domači,86
2017,Danska,25-54,ženske,iz EU,39
2017,Danska,25-54,ženske,iz drugih držav,19
2018,Danska,25-54,ženske,domači,91
2018,Danska,25-54,ženske,iz EU,49
2018,Danska,25-54,ženske,iz drugih držav,23
2019,Danska,25-54,ženske,domači,89
2019,Danska,25-54,ženske,iz EU,45
2019,Danska,25-54,ženske,iz drugih držav,20
2010,Danska,55-74,moški,domači,81
2010,Danska,55-74,moški,iz EU,42
2010,Danska,55-74,moški,iz drugih držav,19
2011,Danska,55-74,moški,domači,81
2011,Danska,55-74,moški,iz EU,33
2011,Danska,55-74,moški,iz drugih držav,11
2012,Danska,55-74,moški,domači,82
2012,Danska,55-74,moški,iz EU,31
2012,Danska,55-74,moški,iz drugih držav,10
2013,Danska,55-74,moški,domači,83
2013,Danska,55-74,moški,iz EU,32
2013,Danska,55-74,moški,iz drugih držav,10
2014,Danska,55-74,moški,domači,84
2014,Danska,55-74,moški,iz EU,37
2014,Danska,55-74,moški,iz drugih držav,12
2015,Danska,55-74,moški,domači,82
2015,Danska,55-74,moški,iz EU,35
2015,Danska,55-74,moški,iz drugih držav,14
2016,Danska,55-74,moški,domači,81
2016,Danska,55-74,moški,iz EU,36
2016,Danska,55-74,moški,iz drugih držav,15
2017,Danska,55-74,moški,domači,87
2017,Danska,55-74,moški,iz EU,31
2017,Danska,55-74,moški,iz drugih držav,16
2018,Danska,55-74,moški,domači,85
2018,Danska,55-74,moški,iz EU,42
2018,Danska,55-74,moški,iz drugih držav,18
2019,Danska,55-74,moški,domači,83
2019,Danska,55-74,moški,iz EU,39
2019,Danska,55-74,moški,iz drugih držav,18
2010,Danska,55-74,ženske,domači,82
2010,Danska,55-74,ženske,iz EU,24
2010,Danska,55-74,ženske,iz drugih držav,8
2011,Danska,55-74,ženske,domači,80
2011,Danska,55-74,ženske,iz EU,20
2011,Danska,55-74,ženske,iz drugih držav,7
2012,Danska,55-74,ženske,domači,76
2012,Danska,55-74,ženske,iz EU,19
2012,Danska,55-74,ženske,iz drugih držav,6
2013,Danska,55-74,ženske,domači,74
2013,Danska,55-74,ženske,iz EU,18
2013,Danska,55-74,ženske,iz drugih držav,6
2014,Danska,55-74,ženske,domači,82
2014,Danska,55-74,ženske,iz EU,19
2014,Danska,55-74,ženske,iz drugih držav,6
2015,Danska,55-74,ženske,domači,78
2015,Danska,55-74,ženske,iz EU,21
2015,Danska,55-74,ženske,iz drugih držav,6
2016,Danska,55-74,ženske,domači,80
2016,Danska,55-74,ženske,iz EU,22
2016,Danska,55-74,ženske,iz drugih držav,6
2017,Danska,55-74,ženske,domači,83
2017,Danska,55-74,ženske,iz EU,21
2017,Danska,55-74,ženske,iz drugih držav,6
2018,Danska,55-74,ženske,domači,87
2018,Danska,55-74,ženske,iz EU,24
2018,Danska,55-74,ženske,iz drugih držav,9
2019,Danska,55-74,ženske,domači,82
2019,Danska,55-74,ženske,iz EU,26
2019,Danska,55-74,ženske,iz drugih držav,8
2010,Nemčija,skupaj,skupaj,domači,92
2010,Nemčija,skupaj,skupaj,iz EU,13
2010,Nemčija,skupaj,skupaj,iz drugih držav,8
2011,Nemčija,skupaj,skupaj,domači,97
2011,Nemčija,skupaj,skupaj,iz EU,13
2011,Nemčija,skupaj,skupaj,iz drugih držav,6
2012,Nemčija,skupaj,skupaj,domači,98
2012,Nemčija,skupaj,skupaj,iz EU,14
2012,Nemčija,skupaj,skupaj,iz drugih držav,8
2013,Nemčija,skupaj,skupaj,domači,94
2013,Nemčija,skupaj,skupaj,iz EU,16
2013,Nemčija,skupaj,skupaj,iz drugih držav,9
2014,Nemčija,skupaj,skupaj,domači,94
2014,Nemčija,skupaj,skupaj,iz EU,17
2014,Nemčija,skupaj,skupaj,iz drugih držav,11
2015,Nemčija,skupaj,skupaj,domači,97
2015,Nemčija,skupaj,skupaj,iz EU,18
2015,Nemčija,skupaj,skupaj,iz drugih držav,11
2016,Nemčija,skupaj,skupaj,domači,97
2016,Nemčija,skupaj,skupaj,iz EU,19
2016,Nemčija,skupaj,skupaj,iz drugih držav,13
2017,Nemčija,skupaj,skupaj,domači,94
2017,Nemčija,skupaj,skupaj,iz EU,24
2017,Nemčija,skupaj,skupaj,iz drugih držav,18
2018,Nemčija,skupaj,skupaj,domači,95
2018,Nemčija,skupaj,skupaj,iz EU,24
2018,Nemčija,skupaj,skupaj,iz drugih držav,20
2019,Nemčija,skupaj,skupaj,domači,93
2019,Nemčija,skupaj,skupaj,iz EU,27
2019,Nemčija,skupaj,skupaj,iz drugih držav,23
2010,Nemčija,16-24,skupaj,domači,90
2010,Nemčija,16-24,skupaj,iz EU,12
2010,Nemčija,16-24,skupaj,iz drugih držav,8
2011,Nemčija,16-24,skupaj,domači,97
2011,Nemčija,16-24,skupaj,iz EU,14
2011,Nemčija,16-24,skupaj,iz drugih držav,7
2012,Nemčija,16-24,skupaj,domači,96
2012,Nemčija,16-24,skupaj,iz EU,14
2012,Nemčija,16-24,skupaj,iz drugih držav,10
2013,Nemčija,16-24,skupaj,domači,92
2013,Nemčija,16-24,skupaj,iz EU,17
2013,Nemčija,16-24,skupaj,iz drugih držav,12
2014,Nemčija,16-24,skupaj,domači,91
2014,Nemčija,16-24,skupaj,iz EU,17
2014,Nemčija,16-24,skupaj,iz drugih držav,15
2015,Nemčija,16-24,skupaj,domači,93
2015,Nemčija,16-24,skupaj,iz EU,18
2015,Nemčija,16-24,skupaj,iz drugih držav,13
2016,Nemčija,16-24,skupaj,domači,92
2016,Nemčija,16-24,skupaj,iz EU,22
2016,Nemčija,16-24,skupaj,iz drugih držav,18
2017,Nemčija,16-24,skupaj,domači,89
2017,Nemčija,16-24,skupaj,iz EU,25
2017,Nemčija,16-24,skupaj,iz drugih držav,22
2018,Nemčija,16-24,skupaj,domači,89
2018,Nemčija,16-24,skupaj,iz EU,30
2018,Nemčija,16-24,skupaj,iz drugih držav,26
2019,Nemčija,16-24,skupaj,domači,87
2019,Nemčija,16-24,skupaj,iz EU,31
2019,Nemčija,16-24,skupaj,iz drugih držav,27
2010,Nemčija,25-54,skupaj,domači,94
2010,Nemčija,25-54,skupaj,iz EU,14
2010,Nemčija,25-54,skupaj,iz drugih držav,8
2011,Nemčija,25-54,skupaj,domači,98
2011,Nemčija,25-54,skupaj,iz EU,14
2011,Nemčija,25-54,skupaj,iz drugih držav,6
2012,Nemčija,25-54,skupaj,domači,98
2012,Nemčija,25-54,skupaj,iz EU,15
2012,Nemčija,25-54,skupaj,iz drugih držav,9
2013,Nemčija,25-54,skupaj,domači,95
2013,Nemčija,25-54,skupaj,iz EU,17
2013,Nemčija,25-54,skupaj,iz drugih držav,9
2014,Nemčija,25-54,skupaj,domači,95
2014,Nemčija,25-54,skupaj,iz EU,19
2014,Nemčija,25-54,skupaj,iz drugih držav,11
2015,Nemčija,25-54,skupaj,domači,97
2015,Nemčija,25-54,skupaj,iz EU,19
2015,Nemčija,25-54,skupaj,iz drugih držav,12
2016,Nemčija,25-54,skupaj,domači,97
2016,Nemčija,25-54,skupaj,iz EU,21
2016,Nemčija,25-54,skupaj,iz drugih držav,14
2017,Nemčija,25-54,skupaj,domači,95
2017,Nemčija,25-54,skupaj,iz EU,26
2017,Nemčija,25-54,skupaj,iz drugih držav,21
2018,Nemčija,25-54,skupaj,domači,96
2018,Nemčija,25-54,skupaj,iz EU,25
2018,Nemčija,25-54,skupaj,iz drugih držav,23
2019,Nemčija,25-54,skupaj,domači,94
2019,Nemčija,25-54,skupaj,iz EU,29
2019,Nemčija,25-54,skupaj,iz drugih držav,25
2010,Nemčija,55-74,skupaj,domači,87
2010,Nemčija,55-74,skupaj,iz EU,12
2010,Nemčija,55-74,skupaj,iz drugih držav,NA
2011,Nemčija,55-74,skupaj,domači,96
2011,Nemčija,55-74,skupaj,iz EU,10
2011,Nemčija,55-74,skupaj,iz drugih držav,3
2012,Nemčija,55-74,skupaj,domači,97
2012,Nemčija,55-74,skupaj,iz EU,11
2012,Nemčija,55-74,skupaj,iz drugih držav,5
2013,Nemčija,55-74,skupaj,domači,93
2013,Nemčija,55-74,skupaj,iz EU,11
2013,Nemčija,55-74,skupaj,iz drugih držav,5
2014,Nemčija,55-74,skupaj,domači,94
2014,Nemčija,55-74,skupaj,iz EU,12
2014,Nemčija,55-74,skupaj,iz drugih držav,6
2015,Nemčija,55-74,skupaj,domači,97
2015,Nemčija,55-74,skupaj,iz EU,12
2015,Nemčija,55-74,skupaj,iz drugih držav,6
2016,Nemčija,55-74,skupaj,domači,98
2016,Nemčija,55-74,skupaj,iz EU,13
2016,Nemčija,55-74,skupaj,iz drugih držav,8
2017,Nemčija,55-74,skupaj,domači,95
2017,Nemčija,55-74,skupaj,iz EU,17
2017,Nemčija,55-74,skupaj,iz drugih držav,9
2018,Nemčija,55-74,skupaj,domači,97
2018,Nemčija,55-74,skupaj,iz EU,16
2018,Nemčija,55-74,skupaj,iz drugih držav,11
2019,Nemčija,55-74,skupaj,domači,95
2019,Nemčija,55-74,skupaj,iz EU,17
2019,Nemčija,55-74,skupaj,iz drugih držav,13
2010,Nemčija,16-24,moški,domači,90
2010,Nemčija,16-24,moški,iz EU,14
2010,Nemčija,16-24,moški,iz drugih držav,10
2011,Nemčija,16-24,moški,domači,97
2011,Nemčija,16-24,moški,iz EU,16
2011,Nemčija,16-24,moški,iz drugih držav,6
2012,Nemčija,16-24,moški,domači,95
2012,Nemčija,16-24,moški,iz EU,17
2012,Nemčija,16-24,moški,iz drugih držav,12
2013,Nemčija,16-24,moški,domači,92
2013,Nemčija,16-24,moški,iz EU,19
2013,Nemčija,16-24,moški,iz drugih držav,13
2014,Nemčija,16-24,moški,domači,89
2014,Nemčija,16-24,moški,iz EU,17
2014,Nemčija,16-24,moški,iz drugih držav,16
2015,Nemčija,16-24,moški,domači,95
2015,Nemčija,16-24,moški,iz EU,17
2015,Nemčija,16-24,moški,iz drugih držav,13
2016,Nemčija,16-24,moški,domači,92
2016,Nemčija,16-24,moški,iz EU,21
2016,Nemčija,16-24,moški,iz drugih držav,15
2017,Nemčija,16-24,moški,domači,88
2017,Nemčija,16-24,moški,iz EU,24
2017,Nemčija,16-24,moški,iz drugih držav,19
2018,Nemčija,16-24,moški,domači,88
2018,Nemčija,16-24,moški,iz EU,32
2018,Nemčija,16-24,moški,iz drugih držav,24
2019,Nemčija,16-24,moški,domači,87
2019,Nemčija,16-24,moški,iz EU,32
2019,Nemčija,16-24,moški,iz drugih držav,25
2010,Nemčija,16-24,ženske,domači,89
2010,Nemčija,16-24,ženske,iz EU,10
2010,Nemčija,16-24,ženske,iz drugih držav,NA
2011,Nemčija,16-24,ženske,domači,97
2011,Nemčija,16-24,ženske,iz EU,11
2011,Nemčija,16-24,ženske,iz drugih držav,7
2012,Nemčija,16-24,ženske,domači,97
2012,Nemčija,16-24,ženske,iz EU,11
2012,Nemčija,16-24,ženske,iz drugih držav,7
2013,Nemčija,16-24,ženske,domači,91
2013,Nemčija,16-24,ženske,iz EU,15
2013,Nemčija,16-24,ženske,iz drugih držav,12
2014,Nemčija,16-24,ženske,domači,92
2014,Nemčija,16-24,ženske,iz EU,17
2014,Nemčija,16-24,ženske,iz drugih držav,13
2015,Nemčija,16-24,ženske,domači,92
2015,Nemčija,16-24,ženske,iz EU,18
2015,Nemčija,16-24,ženske,iz drugih držav,14
2016,Nemčija,16-24,ženske,domači,91
2016,Nemčija,16-24,ženske,iz EU,22
2016,Nemčija,16-24,ženske,iz drugih držav,21
2017,Nemčija,16-24,ženske,domači,89
2017,Nemčija,16-24,ženske,iz EU,25
2017,Nemčija,16-24,ženske,iz drugih držav,24
2018,Nemčija,16-24,ženske,domači,91
2018,Nemčija,16-24,ženske,iz EU,28
2018,Nemčija,16-24,ženske,iz drugih držav,27
2019,Nemčija,16-24,ženske,domači,87
2019,Nemčija,16-24,ženske,iz EU,29
2019,Nemčija,16-24,ženske,iz drugih držav,30
2010,Nemčija,25-54,moški,domači,94
2010,Nemčija,25-54,moški,iz EU,17
2010,Nemčija,25-54,moški,iz drugih držav,11
2011,Nemčija,25-54,moški,domači,97
2011,Nemčija,25-54,moški,iz EU,18
2011,Nemčija,25-54,moški,iz drugih držav,8
2012,Nemčija,25-54,moški,domači,98
2012,Nemčija,25-54,moški,iz EU,19
2012,Nemčija,25-54,moški,iz drugih držav,11
2013,Nemčija,25-54,moški,domači,94
2013,Nemčija,25-54,moški,iz EU,21
2013,Nemčija,25-54,moški,iz drugih držav,12
2014,Nemčija,25-54,moški,domači,95
2014,Nemčija,25-54,moški,iz EU,23
2014,Nemčija,25-54,moški,iz drugih držav,14
2015,Nemčija,25-54,moški,domači,97
2015,Nemčija,25-54,moški,iz EU,24
2015,Nemčija,25-54,moški,iz drugih držav,14
2016,Nemčija,25-54,moški,domači,97
2016,Nemčija,25-54,moški,iz EU,25
2016,Nemčija,25-54,moški,iz drugih držav,16
2017,Nemčija,25-54,moški,domači,94
2017,Nemčija,25-54,moški,iz EU,31
2017,Nemčija,25-54,moški,iz drugih držav,23
2018,Nemčija,25-54,moški,domači,96
2018,Nemčija,25-54,moški,iz EU,30
2018,Nemčija,25-54,moški,iz drugih držav,25
2019,Nemčija,25-54,moški,domači,94
2019,Nemčija,25-54,moški,iz EU,34
2019,Nemčija,25-54,moški,iz drugih držav,28
2010,Nemčija,25-54,ženske,domači,94
2010,Nemčija,25-54,ženske,iz EU,11
2010,Nemčija,25-54,ženske,iz drugih držav,6
2011,Nemčija,25-54,ženske,domači,98
2011,Nemčija,25-54,ženske,iz EU,10
2011,Nemčija,25-54,ženske,iz drugih držav,5
2012,Nemčija,25-54,ženske,domači,98
2012,Nemčija,25-54,ženske,iz EU,11
2012,Nemčija,25-54,ženske,iz drugih držav,6
2013,Nemčija,25-54,ženske,domači,96
2013,Nemčija,25-54,ženske,iz EU,13
2013,Nemčija,25-54,ženske,iz drugih držav,7
2014,Nemčija,25-54,ženske,domači,95
2014,Nemčija,25-54,ženske,iz EU,14
2014,Nemčija,25-54,ženske,iz drugih držav,8
2015,Nemčija,25-54,ženske,domači,97
2015,Nemčija,25-54,ženske,iz EU,15
2015,Nemčija,25-54,ženske,iz drugih držav,10
2016,Nemčija,25-54,ženske,domači,98
2016,Nemčija,25-54,ženske,iz EU,17
2016,Nemčija,25-54,ženske,iz drugih držav,12
2017,Nemčija,25-54,ženske,domači,95
2017,Nemčija,25-54,ženske,iz EU,22
2017,Nemčija,25-54,ženske,iz drugih držav,18
2018,Nemčija,25-54,ženske,domači,96
2018,Nemčija,25-54,ženske,iz EU,21
2018,Nemčija,25-54,ženske,iz drugih držav,20
2019,Nemčija,25-54,ženske,domači,94
2019,Nemčija,25-54,ženske,iz EU,25
2019,Nemčija,25-54,ženske,iz drugih držav,23
2010,Nemčija,55-74,moški,domači,88
2010,Nemčija,55-74,moški,iz EU,13
2010,Nemčija,55-74,moški,iz drugih držav,NA
2011,Nemčija,55-74,moški,domači,96
2011,Nemčija,55-74,moški,iz EU,13
2011,Nemčija,55-74,moški,iz drugih držav,4
2012,Nemčija,55-74,moški,domači,97
2012,Nemčija,55-74,moški,iz EU,14
2012,Nemčija,55-74,moški,iz drugih držav,7
2013,Nemčija,55-74,moški,domači,93
2013,Nemčija,55-74,moški,iz EU,14
2013,Nemčija,55-74,moški,iz drugih držav,7
2014,Nemčija,55-74,moški,domači,95
2014,Nemčija,55-74,moški,iz EU,14
2014,Nemčija,55-74,moški,iz drugih držav,9
2015,Nemčija,55-74,moški,domači,97
2015,Nemčija,55-74,moški,iz EU,15
2015,Nemčija,55-74,moški,iz drugih držav,8
2016,Nemčija,55-74,moški,domači,98
2016,Nemčija,55-74,moški,iz EU,16
2016,Nemčija,55-74,moški,iz drugih držav,10
2017,Nemčija,55-74,moški,domači,95
2017,Nemčija,55-74,moški,iz EU,20
2017,Nemčija,55-74,moški,iz drugih držav,12
2018,Nemčija,55-74,moški,domači,96
2018,Nemčija,55-74,moški,iz EU,20
2018,Nemčija,55-74,moški,iz drugih držav,14
2019,Nemčija,55-74,moški,domači,94
2019,Nemčija,55-74,moški,iz EU,22
2019,Nemčija,55-74,moški,iz drugih držav,17
2010,Nemčija,55-74,ženske,domači,87
2010,Nemčija,55-74,ženske,iz EU,10
2010,Nemčija,55-74,ženske,iz drugih držav,NA
2011,Nemčija,55-74,ženske,domači,95
2011,Nemčija,55-74,ženske,iz EU,8
2011,Nemčija,55-74,ženske,iz drugih držav,2
2012,Nemčija,55-74,ženske,domači,98
2012,Nemčija,55-74,ženske,iz EU,7
2012,Nemčija,55-74,ženske,iz drugih držav,3
2013,Nemčija,55-74,ženske,domači,92
2013,Nemčija,55-74,ženske,iz EU,7
2013,Nemčija,55-74,ženske,iz drugih držav,3
2014,Nemčija,55-74,ženske,domači,92
2014,Nemčija,55-74,ženske,iz EU,9
2014,Nemčija,55-74,ženske,iz drugih držav,4
2015,Nemčija,55-74,ženske,domači,98
2015,Nemčija,55-74,ženske,iz EU,9
2015,Nemčija,55-74,ženske,iz drugih držav,4
2016,Nemčija,55-74,ženske,domači,98
2016,Nemčija,55-74,ženske,iz EU,9
2016,Nemčija,55-74,ženske,iz drugih držav,5
2017,Nemčija,55-74,ženske,domači,96
2017,Nemčija,55-74,ženske,iz EU,13
2017,Nemčija,55-74,ženske,iz drugih držav,6
2018,Nemčija,55-74,ženske,domači,97
2018,Nemčija,55-74,ženske,iz EU,11
2018,Nemčija,55-74,ženske,iz drugih držav,8
2019,Nemčija,55-74,ženske,domači,95
2019,Nemčija,55-74,ženske,iz EU,13
2019,Nemčija,55-74,ženske,iz drugih držav,9
2010,Estonija,skupaj,skupaj,domači,82
2010,Estonija,skupaj,skupaj,iz EU,45
2010,Estonija,skupaj,skupaj,iz drugih držav,21
2011,Estonija,skupaj,skupaj,domači,81
2011,Estonija,skupaj,skupaj,iz EU,50
2011,Estonija,skupaj,skupaj,iz drugih držav,25
2012,Estonija,skupaj,skupaj,domači,81
2012,Estonija,skupaj,skupaj,iz EU,47
2012,Estonija,skupaj,skupaj,iz drugih držav,24
2013,Estonija,skupaj,skupaj,domači,83
2013,Estonija,skupaj,skupaj,iz EU,57
2013,Estonija,skupaj,skupaj,iz drugih držav,28
2014,Estonija,skupaj,skupaj,domači,80
2014,Estonija,skupaj,skupaj,iz EU,45
2014,Estonija,skupaj,skupaj,iz drugih držav,32
2015,Estonija,skupaj,skupaj,domači,85
2015,Estonija,skupaj,skupaj,iz EU,44
2015,Estonija,skupaj,skupaj,iz drugih držav,35
2016,Estonija,skupaj,skupaj,domači,83
2016,Estonija,skupaj,skupaj,iz EU,41
2016,Estonija,skupaj,skupaj,iz drugih držav,38
2017,Estonija,skupaj,skupaj,domači,85
2017,Estonija,skupaj,skupaj,iz EU,45
2017,Estonija,skupaj,skupaj,iz drugih držav,41
2018,Estonija,skupaj,skupaj,domači,85
2018,Estonija,skupaj,skupaj,iz EU,47
2018,Estonija,skupaj,skupaj,iz drugih držav,45
2019,Estonija,skupaj,skupaj,domači,86
2019,Estonija,skupaj,skupaj,iz EU,44
2019,Estonija,skupaj,skupaj,iz drugih držav,48
2010,Estonija,16-24,skupaj,domači,73
2010,Estonija,16-24,skupaj,iz EU,41
2010,Estonija,16-24,skupaj,iz drugih držav,25
2011,Estonija,16-24,skupaj,domači,81
2011,Estonija,16-24,skupaj,iz EU,47
2011,Estonija,16-24,skupaj,iz drugih držav,24
2012,Estonija,16-24,skupaj,domači,77
2012,Estonija,16-24,skupaj,iz EU,49
2012,Estonija,16-24,skupaj,iz drugih držav,24
2013,Estonija,16-24,skupaj,domači,77
2013,Estonija,16-24,skupaj,iz EU,56
2013,Estonija,16-24,skupaj,iz drugih držav,30
2014,Estonija,16-24,skupaj,domači,69
2014,Estonija,16-24,skupaj,iz EU,45
2014,Estonija,16-24,skupaj,iz drugih držav,39
2015,Estonija,16-24,skupaj,domači,76
2015,Estonija,16-24,skupaj,iz EU,50
2015,Estonija,16-24,skupaj,iz drugih držav,43
2016,Estonija,16-24,skupaj,domači,75
2016,Estonija,16-24,skupaj,iz EU,42
2016,Estonija,16-24,skupaj,iz drugih držav,49
2017,Estonija,16-24,skupaj,domači,80
2017,Estonija,16-24,skupaj,iz EU,49
2017,Estonija,16-24,skupaj,iz drugih držav,55
2018,Estonija,16-24,skupaj,domači,77
2018,Estonija,16-24,skupaj,iz EU,49
2018,Estonija,16-24,skupaj,iz drugih držav,58
2019,Estonija,16-24,skupaj,domači,82
2019,Estonija,16-24,skupaj,iz EU,48
2019,Estonija,16-24,skupaj,iz drugih držav,57
2010,Estonija,25-54,skupaj,domači,83
2010,Estonija,25-54,skupaj,iz EU,48
2010,Estonija,25-54,skupaj,iz drugih držav,21
2011,Estonija,25-54,skupaj,domači,82
2011,Estonija,25-54,skupaj,iz EU,52
2011,Estonija,25-54,skupaj,iz drugih držav,26
2012,Estonija,25-54,skupaj,domači,83
2012,Estonija,25-54,skupaj,iz EU,48
2012,Estonija,25-54,skupaj,iz drugih držav,25
2013,Estonija,25-54,skupaj,domači,84
2013,Estonija,25-54,skupaj,iz EU,60
2013,Estonija,25-54,skupaj,iz drugih držav,28
2014,Estonija,25-54,skupaj,domači,82
2014,Estonija,25-54,skupaj,iz EU,49
2014,Estonija,25-54,skupaj,iz drugih držav,33
2015,Estonija,25-54,skupaj,domači,86
2015,Estonija,25-54,skupaj,iz EU,47
2015,Estonija,25-54,skupaj,iz drugih držav,37
2016,Estonija,25-54,skupaj,domači,84
2016,Estonija,25-54,skupaj,iz EU,45
2016,Estonija,25-54,skupaj,iz drugih držav,39
2017,Estonija,25-54,skupaj,domači,86
2017,Estonija,25-54,skupaj,iz EU,49
2017,Estonija,25-54,skupaj,iz drugih držav,42
2018,Estonija,25-54,skupaj,domači,86
2018,Estonija,25-54,skupaj,iz EU,50
2018,Estonija,25-54,skupaj,iz drugih držav,47
2019,Estonija,25-54,skupaj,domači,87
2019,Estonija,25-54,skupaj,iz EU,47
2019,Estonija,25-54,skupaj,iz drugih držav,51
2010,Estonija,55-74,skupaj,domači,92
2010,Estonija,55-74,skupaj,iz EU,20
2010,Estonija,55-74,skupaj,iz drugih držav,3
2011,Estonija,55-74,skupaj,domači,64
2011,Estonija,55-74,skupaj,iz EU,38
2011,Estonija,55-74,skupaj,iz drugih držav,18
2012,Estonija,55-74,skupaj,domači,82
2012,Estonija,55-74,skupaj,iz EU,37
2012,Estonija,55-74,skupaj,iz drugih držav,17
2013,Estonija,55-74,skupaj,domači,93
2013,Estonija,55-74,skupaj,iz EU,40
2013,Estonija,55-74,skupaj,iz drugih držav,18
2014,Estonija,55-74,skupaj,domači,89
2014,Estonija,55-74,skupaj,iz EU,23
2014,Estonija,55-74,skupaj,iz drugih držav,11
2015,Estonija,55-74,skupaj,domači,88
2015,Estonija,55-74,skupaj,iz EU,26
2015,Estonija,55-74,skupaj,iz drugih držav,18
2016,Estonija,55-74,skupaj,domači,90
2016,Estonija,55-74,skupaj,iz EU,23
2016,Estonija,55-74,skupaj,iz drugih držav,16
