leto,drzava,starostna skupina,spol,prodajalec,odstotek
2019,EU28,55-74,skupaj,domači,88
2019,EU28,55-74,skupaj,iz EU,26
2019,EU28,55-74,skupaj,iz drugih držav,18
2010,EU28,16-24,moški,domači,86
2010,EU28,16-24,moški,iz EU,23
2010,EU28,16-24,moški,iz drugih držav,16
2011,EU28,16-24,moški,domači,86
2011,EU28,16-24,moški,iz EU,25
2011,EU28,16-24,moški,iz drugih držav,16
2012,EU28,16-24,moški,domači,87
2012,EU28,16-24,moški,iz EU,25
2012,EU28,16-24,moški,iz drugih držav,19
2013,EU28,16-24,moški,domači,85
2013,EU28,16-24,moški,iz EU,27
2013,EU28,16-24,moški,iz drugih držav,19
2014,EU28,16-24,moški,domači,83
2014,EU28,16-24,moški,iz EU,30
2014,EU28,16-24,moški,iz drugih držav,23
2015,EU28,16-24,moški,domači,82
2015,EU28,16-24,moški,iz EU,34
2015,EU28,16-24,moški,iz drugih držav,24
2016,EU28,16-24,moški,domači,82
2016,EU28,16-24,moški,iz EU,37
2016,EU28,16-24,moški,iz drugih držav,25
2017,EU28,16-24,moški,domači,84
2017,EU28,16-24,moški,iz EU,35
2017,EU28,16-24,moški,iz drugih držav,28
2018,EU28,16-24,moški,domači,80
2018,EU28,16-24,moški,iz EU,40
2018,EU28,16-24,moški,iz drugih držav,32
2019,EU28,16-24,moški,domači,79
2019,EU28,16-24,moški,iz EU,36
2019,EU28,16-24,moški,iz drugih držav,34
2010,EU28,16-24,ženske,domači,88
2010,EU28,16-24,ženske,iz EU,18
2010,EU28,16-24,ženske,iz drugih držav,10
2011,EU28,16-24,ženske,domači,89
2011,EU28,16-24,ženske,iz EU,18
2011,EU28,16-24,ženske,iz drugih držav,9
2012,EU28,16-24,ženske,domači,89
2012,EU28,16-24,ženske,iz EU,22
2012,EU28,16-24,ženske,iz drugih držav,12
2013,EU28,16-24,ženske,domači,85
2013,EU28,16-24,ženske,iz EU,24
2013,EU28,16-24,ženske,iz drugih držav,14
2014,EU28,16-24,ženske,domači,85
2014,EU28,16-24,ženske,iz EU,28
2014,EU28,16-24,ženske,iz drugih držav,18
2015,EU28,16-24,ženske,domači,81
2015,EU28,16-24,ženske,iz EU,32
2015,EU28,16-24,ženske,iz drugih držav,20
2016,EU28,16-24,ženske,domači,84
2016,EU28,16-24,ženske,iz EU,33
2016,EU28,16-24,ženske,iz drugih držav,25
2017,EU28,16-24,ženske,domači,81
2017,EU28,16-24,ženske,iz EU,34
2017,EU28,16-24,ženske,iz drugih držav,27
2018,EU28,16-24,ženske,domači,83
2018,EU28,16-24,ženske,iz EU,37
2018,EU28,16-24,ženske,iz drugih držav,30
2019,EU28,16-24,ženske,domači,80
2019,EU28,16-24,ženske,iz EU,36
2019,EU28,16-24,ženske,iz drugih držav,30
2010,EU28,25-54,moški,domači,89
2010,EU28,25-54,moški,iz EU,26
2010,EU28,25-54,moški,iz drugih držav,17
2011,EU28,25-54,moški,domači,90
2011,EU28,25-54,moški,iz EU,28
2011,EU28,25-54,moški,iz drugih držav,16
2012,EU28,25-54,moški,domači,91
2012,EU28,25-54,moški,iz EU,30
2012,EU28,25-54,moški,iz drugih držav,17
2013,EU28,25-54,moški,domači,89
2013,EU28,25-54,moški,iz EU,31
2013,EU28,25-54,moški,iz drugih držav,19
2014,EU28,25-54,moški,domači,87
2014,EU28,25-54,moški,iz EU,36
2014,EU28,25-54,moški,iz drugih držav,21
2015,EU28,25-54,moški,domači,89
2015,EU28,25-54,moški,iz EU,35
2015,EU28,25-54,moški,iz drugih držav,22
2016,EU28,25-54,moški,domači,90
2016,EU28,25-54,moški,iz EU,37
2016,EU28,25-54,moški,iz drugih držav,24
2017,EU28,25-54,moški,domači,87
2017,EU28,25-54,moški,iz EU,39
2017,EU28,25-54,moški,iz drugih držav,28
2018,EU28,25-54,moški,domači,89
2018,EU28,25-54,moški,iz EU,42
2018,EU28,25-54,moški,iz drugih držav,31
2019,EU28,25-54,moški,domači,88
2019,EU28,25-54,moški,iz EU,41
2019,EU28,25-54,moški,iz drugih držav,32
2010,EU28,25-54,ženske,domači,91
2010,EU28,25-54,ženske,iz EU,19
2010,EU28,25-54,ženske,iz drugih držav,9
2011,EU28,25-54,ženske,domači,93
2011,EU28,25-54,ženske,iz EU,19
2011,EU28,25-54,ženske,iz drugih držav,9
2012,EU28,25-54,ženske,domači,92
2012,EU28,25-54,ženske,iz EU,21
2012,EU28,25-54,ženske,iz drugih držav,10
2013,EU28,25-54,ženske,domači,91
2013,EU28,25-54,ženske,iz EU,23
2013,EU28,25-54,ženske,iz drugih držav,11
2014,EU28,25-54,ženske,domači,89
2014,EU28,25-54,ženske,iz EU,26
2014,EU28,25-54,ženske,iz drugih držav,13
2015,EU28,25-54,ženske,domači,90
2015,EU28,25-54,ženske,iz EU,28
2015,EU28,25-54,ženske,iz drugih držav,15
2016,EU28,25-54,ženske,domači,90
2016,EU28,25-54,ženske,iz EU,30
2016,EU28,25-54,ženske,iz drugih držav,19
2017,EU28,25-54,ženske,domači,88
2017,EU28,25-54,ženske,iz EU,31
2017,EU28,25-54,ženske,iz drugih držav,22
2018,EU28,25-54,ženske,domači,89
2018,EU28,25-54,ženske,iz EU,34
2018,EU28,25-54,ženske,iz drugih držav,25
2019,EU28,25-54,ženske,domači,88
2019,EU28,25-54,ženske,iz EU,34
2019,EU28,25-54,ženske,iz drugih držav,26
2010,EU28,55-74,moški,domači,89
2010,EU28,55-74,moški,iz EU,23
2010,EU28,55-74,moški,iz drugih držav,12
2011,EU28,55-74,moški,domači,92
2011,EU28,55-74,moški,iz EU,21
2011,EU28,55-74,moški,iz drugih držav,11
2012,EU28,55-74,moški,domači,92
2012,EU28,55-74,moški,iz EU,24
2012,EU28,55-74,moški,iz drugih držav,13
2013,EU28,55-74,moški,domači,89
2013,EU28,55-74,moški,iz EU,23
2013,EU28,55-74,moški,iz drugih držav,14
2014,EU28,55-74,moški,domači,90
2014,EU28,55-74,moški,iz EU,25
2014,EU28,55-74,moški,iz drugih držav,14
2015,EU28,55-74,moški,domači,90
2015,EU28,55-74,moški,iz EU,27
2015,EU28,55-74,moški,iz drugih držav,15
2016,EU28,55-74,moški,domači,91
2016,EU28,55-74,moški,iz EU,26
2016,EU28,55-74,moški,iz drugih držav,16
2017,EU28,55-74,moški,domači,89
