leto,drzava,starostna skupina,spol,zadnji e-nakup,odstotek
2010,Grčija,25-54,moški,v zadnjih 3. mesecih,14
2010,Grčija,25-54,ženske,v zadnjih 3. mesecih,8
2010,Grčija,55-74,moški,v zadnjih 3. mesecih,3
2010,Grčija,55-74,ženske,v zadnjih 3. mesecih,1
2010,Španija,skupaj,skupaj,v zadnjih 3. mesecih,17
2010,Španija,16-24,skupaj,v zadnjih 3. mesecih,20
2010,Španija,25-54,skupaj,v zadnjih 3. mesecih,21
2010,Španija,55-74,skupaj,v zadnjih 3. mesecih,5
2010,Španija,16-24,moški,v zadnjih 3. mesecih,22
2010,Španija,16-24,ženske,v zadnjih 3. mesecih,17
2010,Španija,25-54,moški,v zadnjih 3. mesecih,22
2010,Španija,25-54,ženske,v zadnjih 3. mesecih,20
2010,Španija,55-74,moški,v zadnjih 3. mesecih,8
2010,Španija,55-74,ženske,v zadnjih 3. mesecih,3
2010,Francija,skupaj,skupaj,v zadnjih 3. mesecih,40
2010,Francija,16-24,skupaj,v zadnjih 3. mesecih,47
2010,Francija,25-54,skupaj,v zadnjih 3. mesecih,50
2010,Francija,55-74,skupaj,v zadnjih 3. mesecih,20
2010,Francija,16-24,moški,v zadnjih 3. mesecih,48
2010,Francija,16-24,ženske,v zadnjih 3. mesecih,46
2010,Francija,25-54,moški,v zadnjih 3. mesecih,52
2010,Francija,25-54,ženske,v zadnjih 3. mesecih,48
2010,Francija,55-74,moški,v zadnjih 3. mesecih,25
2010,Francija,55-74,ženske,v zadnjih 3. mesecih,15
2010,Hrvaška,skupaj,skupaj,v zadnjih 3. mesecih,9
2010,Hrvaška,16-24,skupaj,v zadnjih 3. mesecih,17
2010,Hrvaška,25-54,skupaj,v zadnjih 3. mesecih,12
2010,Hrvaška,55-74,skupaj,v zadnjih 3. mesecih,1
2010,Hrvaška,16-24,moški,v zadnjih 3. mesecih,18
2010,Hrvaška,16-24,ženske,v zadnjih 3. mesecih,15
2010,Hrvaška,25-54,moški,v zadnjih 3. mesecih,14
2010,Hrvaška,25-54,ženske,v zadnjih 3. mesecih,10
2010,Hrvaška,55-74,moški,v zadnjih 3. mesecih,2
2010,Hrvaška,55-74,ženske,v zadnjih 3. mesecih,1
2010,Italija,skupaj,skupaj,v zadnjih 3. mesecih,9
2010,Italija,16-24,skupaj,v zadnjih 3. mesecih,11
2010,Italija,25-54,skupaj,v zadnjih 3. mesecih,12
2010,Italija,55-74,skupaj,v zadnjih 3. mesecih,3
2010,Italija,16-24,moški,v zadnjih 3. mesecih,12
2010,Italija,16-24,ženske,v zadnjih 3. mesecih,9
2010,Italija,25-54,moški,v zadnjih 3. mesecih,16
2010,Italija,25-54,ženske,v zadnjih 3. mesecih,9
2010,Italija,55-74,moški,v zadnjih 3. mesecih,5
2010,Italija,55-74,ženske,v zadnjih 3. mesecih,1
2010,Ciper,skupaj,skupaj,v zadnjih 3. mesecih,14
2010,Ciper,16-24,skupaj,v zadnjih 3. mesecih,22
2010,Ciper,25-54,skupaj,v zadnjih 3. mesecih,17
2010,Ciper,55-74,skupaj,v zadnjih 3. mesecih,3
2010,Ciper,16-24,moški,v zadnjih 3. mesecih,25
2010,Ciper,16-24,ženske,v zadnjih 3. mesecih,18
2010,Ciper,25-54,moški,v zadnjih 3. mesecih,18
2010,Ciper,25-54,ženske,v zadnjih 3. mesecih,15
2010,Ciper,55-74,moški,v zadnjih 3. mesecih,4
2010,Ciper,55-74,ženske,v zadnjih 3. mesecih,2
2010,Latvija,skupaj,skupaj,v zadnjih 3. mesecih,8
2010,Latvija,16-24,skupaj,v zadnjih 3. mesecih,12
2010,Latvija,25-54,skupaj,v zadnjih 3. mesecih,11
2010,Latvija,55-74,skupaj,v zadnjih 3. mesecih,1
2010,Latvija,16-24,moški,v zadnjih 3. mesecih,12
2010,Latvija,16-24,ženske,v zadnjih 3. mesecih,13
2010,Latvija,25-54,moški,v zadnjih 3. mesecih,11
2010,Latvija,25-54,ženske,v zadnjih 3. mesecih,11
2010,Latvija,55-74,moški,v zadnjih 3. mesecih,1
2010,Latvija,55-74,ženske,v zadnjih 3. mesecih,1
2010,Litva,skupaj,skupaj,v zadnjih 3. mesecih,7
2010,Litva,16-24,skupaj,v zadnjih 3. mesecih,11
2010,Litva,25-54,skupaj,v zadnjih 3. mesecih,8
2010,Litva,55-74,skupaj,v zadnjih 3. mesecih,1
2010,Litva,16-24,moški,v zadnjih 3. mesecih,10
2010,Litva,16-24,ženske,v zadnjih 3. mesecih,13
2010,Litva,25-54,moški,v zadnjih 3. mesecih,7
2010,Litva,25-54,ženske,v zadnjih 3. mesecih,8
2010,Litva,55-74,moški,v zadnjih 3. mesecih,1
2010,Litva,55-74,ženske,v zadnjih 3. mesecih,1
2010,Luksemburg,skupaj,skupaj,v zadnjih 3. mesecih,47
2010,Luksemburg,16-24,skupaj,v zadnjih 3. mesecih,33
2010,Luksemburg,25-54,skupaj,v zadnjih 3. mesecih,57
2010,Luksemburg,55-74,skupaj,v zadnjih 3. mesecih,29
2010,Luksemburg,16-24,moški,v zadnjih 3. mesecih,39
2010,Luksemburg,16-24,ženske,v zadnjih 3. mesecih,28
2010,Luksemburg,25-54,moški,v zadnjih 3. mesecih,61
2010,Luksemburg,25-54,ženske,v zadnjih 3. mesecih,52
2010,Luksemburg,55-74,moški,v zadnjih 3. mesecih,33
2010,Luksemburg,55-74,ženske,v zadnjih 3. mesecih,25
2010,Madžarska,skupaj,skupaj,v zadnjih 3. mesecih,10
2010,Madžarska,16-24,skupaj,v zadnjih 3. mesecih,12
2010,Madžarska,25-54,skupaj,v zadnjih 3. mesecih,14
2010,Madžarska,55-74,skupaj,v zadnjih 3. mesecih,3
2010,Madžarska,16-24,moški,v zadnjih 3. mesecih,12
2010,Madžarska,16-24,ženske,v zadnjih 3. mesecih,12
2010,Madžarska,25-54,moški,v zadnjih 3. mesecih,16
2010,Madžarska,25-54,ženske,v zadnjih 3. mesecih,13
2010,Madžarska,55-74,moški,v zadnjih 3. mesecih,3
2010,Madžarska,55-74,ženske,v zadnjih 3. mesecih,2
2010,Malta,skupaj,skupaj,v zadnjih 3. mesecih,32
2010,Malta,16-24,skupaj,v zadnjih 3. mesecih,59
2010,Malta,25-54,skupaj,v zadnjih 3. mesecih,36
2010,Malta,55-74,skupaj,v zadnjih 3. mesecih,7
2010,Malta,16-24,moški,v zadnjih 3. mesecih,61
2010,Malta,16-24,ženske,v zadnjih 3. mesecih,57
